id,site,dir,pre,dur,post,lng,lat
35,Hinder St at LR Crossing,SW,2750,2000,2610,149.1368659,-35.1870099
36,Gungahlin Pl at Bus station,NE,2430,2140,2630,149.1348525,-35.18520932
37,Hibberon St two-way,NE,2690,1710,2650,149.1324396,-35.18395394
38,Genge St & Lonsdale St near Cooyong St,NE,3020,1400,2680,149.1322811,-35.27636591
39,Reed St,NE,2640,2150,2720,149.0682479,-35.41712206
40,Hibberon St two-way,SW,3860,1750,2770,149.1324592,-35.18401851
41,Eastern Valley Way near Emu Bank,NE,3630,1680,2870,149.073102,-35.24045666
42,London Circ near Northbourne Ave,SW,3070,1140,2940,149.1286006,-35.27957445
43,McCaughey St near Barry Dr,NE,2940,720,2950,149.1230414,-35.27153889
44,Flemington Rd at Kate Cres,SW,2240,2030,3030,149.1400675,-35.18630001
45,Hinder St at LR Crossing,NE,3120,2300,3030,149.136945,-35.1866886
46,Cohen St near Benjamin Way,SW,3280,3260,3120,149.0658785,-35.239956
47,Cohen St near Nettleford St,SW,2920,2830,3220,149.059059,-35.24017187
48,Cohen St near Benjamin Way,NE,3390,3560,3270,149.0658866,-35.2398661
49,Anketell St near Cowlishaw St,NE,2600,2080,3330,149.0661109,-35.41364757
50,London Circ near Petrie Plaza ped-crossing,NE,3390,1750,3360,149.1305017,-35.27972656
51,Lathlain St near Luxton St,SW,2790,2310,3390,149.0625486,-35.23636149
52,London Circ near Constitution Ave,NE,4670,1500,3410,149.1310415,-35.28348878
53,Ernest Cavanagh St at Gozzard St,SW,3560,2910,3450,149.1327687,-35.18403583
54,Pitman St near Athllon Dr,SW,3460,1890,3470,149.0636445,-35.41610295
55,Kate Cres at Flemington Rd,SW,3200,2160,3660,149.1391887,-35.18651618
56,The Valley Ave at Kate Cres,SW,3070,1980,3680,149.1378438,-35.18795337
57,Marcus Clarke St near University Ave,SW,4800,1260,3700,149.1246059,-35.28057406
58,Genge St & Lonsdale St near Cooyong St,SW,3450,1520,3740,149.1324339,-35.27567919
59,McCaughey St near Barry Dr,SW,4220,1590,3770,149.1227337,-35.27248216
60,Gozzard St at Anthony Rolfe Ave,SW,3960,3050,3790,149.132829,-35.18335097
61,Cohen St near Nettleford St,NE,3660,3240,3790,149.0595712,-35.24006816
62,Botany St near Melrose Dr,NE,4240,2400,3900,149.0854389,-35.35115922
63,Anketell St near Cowlishaw St,SW,3300,2020,3900,149.0657357,-35.41319595
64,John Gorton Dr near Holborow Ave,SW,3380,2680,4100,149.0343519,-35.29810003
65,Anketell St near Reed St,SW,4120,2680,4110,149.0681225,-35.41626687
66,Gozzard St at Anthony Rolfe Ave,NE,4430,3540,4130,149.1327459,-35.18332843
67,College St near Benjamin Way,SW,3580,2570,4230,149.0678834,-35.24303928
68,Constitution Ave near National Convention Centre,SW,4590,1600,4230,149.1343965,-35.2853554
69,The Valley Ave at Kate Cres,NE,3650,2570,4320,149.1378828,-35.1880675
70,Eastern Valley Way near Emu Bank,SW,4480,2640,4340,149.0733794,-35.24037273
71,Marcus Clarke St near University Ave,NE,6000,1770,4340,149.1245433,-35.28054502
72,Clunies Ross St near Barry Dr,NE,3890,1960,4400,149.1166836,-35.2731256
73,Lathlain St near Luxton St,NE,4370,3700,4480,149.062433,-35.23636879
74,Benjamin Way near Emu Bank,SW,4730,2300,4510,149.0676204,-35.23679006
75,Kate Cres at Flemington Rd,NE,3760,2670,4530,149.139093,-35.18651361
76,Clunies Ross St near Barry Dr,SW,5080,1700,4720,149.1160508,-35.27383746
77,Benjamin Way near Belconnen Way,NE,4810,2560,4740,149.0673163,-35.24688722
78,Athllon Dr near Soward Way,NE,4850,2660,4750,149.0658306,-35.42044773
79,The Valley Ave at Gungahlin Pl,SW,4960,2940,4970,149.1344309,-35.18769073
80,Botany St near Melrose Dr,SW,5290,3100,5010,149.0854529,-35.35121129
81,Constitution Ave near National Convention Centre,NE,5580,2120,5040,149.13445,-35.28528592
82,Benjamin Way near Emu Bank,NE,5600,2720,5050,149.0673257,-35.23680182
83,College St near Benjamin Way,NE,4910,3370,5160,149.0678912,-35.24297206
84,The Valley Ave at Gungahlin Pl,NE,5290,3120,5170,149.1344261,-35.187577
85,London Circ near Constitution Ave,SW,5970,2660,5290,149.131118,-35.28353537
86,Benjamin Way near Belconnen Way,SW,5540,3160,5420,149.0676215,-35.24697828
87,Clunies Ross St near Dickson Rd,NE,6330,1960,5460,149.1115092,-35.27894613
88,Corinna St near Callam St,SW,2910,2070,5460,149.0886425,-35.34771012
89,Benjamin Way near Cohen St,SW,5930,4320,5470,149.0676368,-35.24027006
90,Callam St near Bowes St,SW,5540,2760,5480,149.0881094,-35.3437905
91,Marcus Clarke St near Rudd St,NE,6960,2750,5600,149.1265813,-35.27658643
92,London Circ near Northbourne Ave,NE,5960,2370,5600,149.1286144,-35.27947963
93,Marcus Clarke St near Rudd St,SW,6740,2880,5610,149.1266503,-35.27660104
94,London Circ near Petrie Plaza ped-crossing,SW,5800,2490,5680,149.1305431,-35.27985027
95,Clunies Ross St near Dickson Rd,SW,6430,2100,5720,149.1123281,-35.278025
96,John Gorton Dr near Holborow Ave,NE,3620,3090,5850,149.0341605,-35.29806411
97,Callam St near Bowes St,NE,5780,2920,5870,149.0879827,-35.34381363
98,Anketell St near Reed St,NE,5850,4240,5870,149.0680752,-35.41630213
99,Benjamin Way near Cohen St,NE,6530,4590,5910,149.0673378,-35.24025205
100,Soward Way near Anketell St,NE,6330,4350,6030,149.0657655,-35.41981186
101,Anthony Rolfe Ave at Gundaroo Dr,NE,6340,4400,6240,149.1291711,-35.18224367
102,Anketell St near Oakden St,NE,6340,4760,6730,149.0727218,-35.42233803
103,Corinna St near Callam St,NE,4430,1960,6750,149.0885881,-35.34767235
104,Emu Bank near Eastern Valley Way,SW,7480,3820,6780,149.0722566,-35.23968418
105,Federal Hwy near Stirling Ave,SW,6230,3880,7010,149.153246,-35.22945442
106,Anketell St near Oakden St,SW,6590,4800,7010,149.072353,-35.42185328
107,Emu Bank near Benjamin Way,SW,8640,2300,7040,149.0665934,-35.23626265
108,Nettleford St near Cohen St,NE,6420,5310,7040,149.0587036,-35.24043062
109,Lathlain St near Belconnen Way,NE,7810,4390,7050,149.0641575,-35.24592263
110,Soward Way near Anketell St,SW,7360,4930,7200,149.0658084,-35.41986838
111,Athllon Dr near Soward Way,SW,7320,4390,7210,149.0659938,-35.42034736
112,Cooyong St near Akuna St,SW,12610,5070,7290,149.1365871,-35.28088298
113,Nettleford St near Cohen St,SW,6810,5580,7300,149.0587473,-35.24057592
114,The Valley Ave Xing at School,SW,8470,4710,7420,149.1228493,-35.18808336
115,Edinburgh Ave near Phillip Law St,NE,9190,1600,7460,149.1226189,-35.28439386
116,Luxton St near Lathlain St,NE,7600,4450,7480,149.0616661,-35.23566708
117,Athllon Dr near Pitman St,NE,7750,4120,7500,149.0629452,-35.41664267
118,Federal Hwy near Stirling Ave,NE,5930,3870,7510,149.1527151,-35.22958681
119,Emu Bank near Eastern Valley Way,NE,8630,4840,7580,149.0722566,-35.23962983
120,Flemington Rd near Well Station Dr,SW,7580,4580,7650,149.1472733,-35.2101613
121,Flemington Rd at Sandford St,SW,7580,4580,7650,149.1447032,-35.22220865
122,Melrose Dr near Botany St,NE,8180,4760,7680,149.0852041,-35.35205685
123,Athllon Dr near Pitman St,SW,8010,4660,7690,149.0631308,-35.41656985
124,Launceston St near Callam St,NE,8730,4130,7760,149.0865485,-35.34147055
125,Athlon Dr near Shea St,SW,7780,4370,7970,149.09091,-35.35139777
126,Emu Bank near Benjamin Way,NE,9100,2760,8030,149.0665792,-35.23620247
127,Luxton St near Lathlain St,SW,8330,5220,8060,149.0617168,-35.23576885
128,Launceston St near Callam St,SW,7370,3440,8390,149.08658,-35.34134515
129,Edinburgh Ave near Phillip Law St,SW,10850,3010,8420,149.1226712,-35.28450584
130,Bindubi St near Belconnen Way,SW,8820,4820,8450,149.0753868,-35.25147956
131,Flemington Rd near Well Station Dr,NE,6010,4920,8490,149.1470519,-35.21018478
132,Athlon Dr near Shea St,NE,8410,5080,8510,149.0908049,-35.35132847
133,Melrose Dr near Worgan St,SW,11200,4740,8560,149.0825563,-35.34278544
134,The Valley Ave Xing at School,NE,9660,5340,8700,149.1229792,-35.18783242
135,Kuringa Dr near Barton Hwy,NE,9240,5740,8760,149.0742294,-35.18482347
136,Aikman Dr near Emu Bank,NE,8940,5100,8800,149.0760872,-35.23910532
137,Anthony Rolfe Ave at Gundaroo Dr,SW,7590,5870,8930,149.1290407,-35.18235133
138,Lathlain St near Belconnen Way,SW,8390,5670,9070,149.0642473,-35.24596554
139,Ginninderra Dr near Copland Dr,NE,9600,5900,9240,149.0580234,-35.22008954
140,Gundaroo Dr near Horse Park Dr,SW,8850,5650,9270,149.1407283,-35.18094634
141,Aikman Dr near Emu Bank,SW,9690,5330,9270,149.0762169,-35.23913011
142,Barton Hwy near Randwick Rd,NE,9850,5030,9940,149.1177761,-35.21844381
143,Coranderrk St near Constitution Ave,SW,10590,4130,9950,149.1350063,-35.28585758
144,Gundaroo Dr near Horse Park Dr,NE,9360,6150,10100,149.1406875,-35.18087009
145,Bindubi St near Belconnen Way,NE,10610,5770,10310,149.0752518,-35.25141318
146,Melrose Dr near Worgan St,NE,11230,5680,10320,149.0823563,-35.34265219
147,Mirrabei Dr at Gundaroo Dr,SW,10140,6820,10600,149.1270764,-35.18037216
148,Melrose Dr near Corinna St,SW,11390,6130,10610,149.0828628,-35.34479689
149,Mirrabei Dr at Gundaroo Dr,NE,10040,6690,10620,149.1262429,-35.17953536
150,Kingsford Smith Dr near Southern Cross Dr,NE,10560,6540,10640,149.036176,-35.225976
151,Barton Hwy near Randwick Rd,SW,10640,5550,10730,149.1179422,-35.21841971
152,Drakeford Dr near Ellison Harvie Cl,SW,11200,7000,10780,149.0764422,-35.42064526
153,Athllon Dr near Learmonth DR & Anketell St,NE,11160,6350,10820,149.0617697,-35.41114428
154,Melrose Dr near Corinna St,NE,12150,6090,11000,149.0826558,-35.34484883
155,Cooyong St near Scotts Crossing,SW,11890,5060,11010,149.1343222,-35.27696979
156,Athllon Dr near Learmonth DR & Anketell St,SW,11240,6530,11040,149.0619062,-35.41119739
157,Barton Hwy near Kuringa Dr,SW,10860,5830,11120,149.0745526,-35.18234894
158,Kuringa Dr near Barton Hwy,SW,12150,7290,11180,149.0743283,-35.18495463
159,Ginninderra Dr near Copland Dr,SW,11680,6660,11300,149.057979,-35.22026624
160,Drakeford Dr near Ellison Harvie Cl,NE,11890,7240,11340,149.0761851,-35.42070059
161,Kingsford Smith Dr near Southern Cross Dr,SW,12380,7570,11790,149.036301,-35.226134
162,Athlon Dr near Beasly St,NE,12020,7190,11810,149.0923585,-35.3633194
163,Northbourne Ave near London Cct,SW,10430,5000,12340,149.1294184,-35.27877128
164,Ginninderra Dr near Gungahlin Dr SB ramps,NE,12970,6340,12400,149.0959192,-35.23545308
165,Yamba Dr near Launceston St,SW,12790,6770,12400,149.0919157,-35.33939383
166,Barton Hwy near Kuringa Dr,NE,11730,6580,12420,149.0744782,-35.182644
167,Cooyong St near Akuna St,NE,13130,5210,12630,149.1364505,-35.28092111
168,Drakeford Dr near Taverner St,SW,13100,8030,12840,149.0746937,-35.40195263
169,Belconnen Way near Lathlain St,NE,14700,7900,13440,149.0646696,-35.24680889
170,Belconnen Way near Lathlain St,SW,14270,8490,13550,149.0646847,-35.2470383
171,Cooyong St near Scotts Crossing,NE,13880,5820,13750,149.134151,-35.27697134
172,Barry Dr near McCaughey St,SW,16730,6450,13760,149.1198464,-35.27300995
173,Belconnen Way near Benjamin Way,NE,14090,7830,13800,149.0699014,-35.24847775
174,Cotter Rd near Lady Denman Dr,NE,15170,7640,13830,149.0842981,-35.31258752
175,Melrose Dr near Botany St,SW,14530,8430,13920,149.0854102,-35.35201183
176,Barry Dr near Cluniess Ross St,NE,15300,5850,14140,149.1167534,-35.27199497
177,Barry Dr near Northbourne Ave,SW,15300,5850,14140,149.1277891,-35.27563252
178,Yamba Dr near Launceston St,NE,14430,7500,14170,149.0917229,-35.33908589
179,Barry Dr near Cluniess Ross St,SW,15390,6420,14440,149.1166284,-35.27206835
180,Barry Dr near Northbourne Ave,NE,15390,6420,14440,149.1280238,-35.27554707
181,Northbourne Ave near Elouera St,NE,14030,7990,14620,149.129874,-35.2732856
182,Barry Dr near McCaughey St,NE,16890,6680,14690,149.1198914,-35.27288091
183,Northbourne Ave near Elouera St,SW,13460,6790,14740,149.1303423,-35.27285417
184,Ginninderra Dr near Gungahlin Dr SB ramps,SW,14590,7840,14840,149.0960173,-35.23567691
185,Gundaroo Dr near ped crossing,NE,14260,8960,15130,149.1241326,-35.18406122
186,Horse Park Dr near Gundaroo Dr,SW,13492,9180,15190,149.141692,-35.178654
187,Coranderrk St near Constitution Ave,NE,15640,6150,15330,149.1348521,-35.28577399
188,Belconnen Way near Benjamin Way,SW,15570,8350,15370,149.0702801,-35.24877671
189,Federal Hwy near Barton Hwy,NE,12780,9330,15457,149.135161,-35.2423919
190,Drakeford Dr near Taverner St,NE,16080,9640,15590,149.0744243,-35.40198813
191,Canberra Ave near Nyarang St,NE,15740,9110,15610,149.1731707,-35.3362019
192,Vernon Circ near Constitution Ave,SW,16110,6920,15790,149.1299833,-35.28209989
193,Northbourne Ave near London Cct,NE,14950,7330,15960,149.1289738,-35.27872151
194,Gundaroo Dr near ped crossing,SW,15430,10040,16700,149.1239641,-35.18414368
195,Horse Park Dr near Gundaroo Dr,NE,15440,10340,16910,149.14148,-35.178664
196,Horse Park Dr near Well Station Dr,SW,12450,10570,17090,149.1642278,-35.19901602
197,Ginninderra Dr near Aikman Dr,SW,17720,9860,17270,149.0675859,-35.22235491
198,Horse Park Dr near Well Station Dr,NE,14720,10970,17420,149.1641366,-35.19912864
199,Gungahlin Dr at Gundaroo Dr,NE,18040,10590,17850,149.1201557,-35.18682061
200,Gungalin Dr near Gundaroo Dr,NE,18040,10590,17850,149.120202,-35.186865
201,Ginninderra Dr near Aikman Dr,NE,18800,10140,17930,149.0675818,-35.22221242
202,Drakeford Dr near Sulwood Dr,SW,18910,10170,17970,149.0572909,-35.37264013
203,Hindmarsh Dr near Callam St,SW,18140,11170,18200,149.0889454,-35.34903123
204,Drakeford Dr near Sulwood Dr,NE,19990,10730,19340,149.0570732,-35.37263888
205,Morshead Dr near Monaro Hwy NB Off-ramp,NE,29790,14750,20190,149.1719543,-35.30168575
206,Gungahlin Dr at Gundaroo Dr,SW,19290,11980,20250,149.1203301,-35.18678291
207,Cotter Rd near Streeton Dr,SW,18470,11290,20400,149.0517087,-35.32720155
208,Hindmarsh Dr near Callam St,NE,20770,10070,20520,149.0889165,-35.34886744
209,Canberra Ave near Tori Price St,SW,22510,14590,20640,149.1896743,-35.34394188
210,Canberra Ave near Nyarang St,SW,21210,13200,20770,149.1731668,-35.33641582
211,Cotter Rd near Streeton Dr,NE,18860,11410,20910,149.051683,-35.32701488
212,Majura Pkwy near Federal Hwy ,SW,16220,11360,20940,149.1806164,-35.21330515
213,Canberra Ave near Tori Price St,NE,22030,14560,21200,149.1894465,-35.34271772
214,Hindmarsh Dr near Eggleston Cr,SW,22790,13540,21320,149.0762815,-35.34756892
215,Majura Pkwy near Federal Hwy ,NE,18560,13620,22170,149.1805022,-35.21323687
216,Monaro Hwy near Federal Hwy,NE,18560,13620,22170,149.1899657,-35.21492061
217,Federal Hwy near Barton Hwy,SW,17650,9280,22370,149.1354985,-35.24215585
218,William Hovell Dr near Bindubi St,NE,22510,13450,22810,149.074497,-35.276457
219,Morshead Dr near Monaro Hwy NB Off-ramp,SW,25650,12190,23280,149.1722455,-35.3017686
220,Cotter Rd near Lady Denman Dr,SW,23170,11640,23540,149.0843379,-35.31269254
221,William Hovell Dr near Bindubi St,SW,25730,14860,25390,149.074493,-35.276607
222,Monaro Hwy near Lanyon Dr ,NE,26380,17180,26710,149.1696858,-35.37962408
223,Commonwealth Ave near Albert St ped-crossing,NE,30810,12020,28170,149.127402,-35.28905512
224,Belconnen Way near GDE,SW,29100,13890,28460,149.0881911,-35.25589811
225,Commonwealth Ave near Albert St ped-crossing,SW,31890,12660,29720,149.127643,-35.28908426
226,Monaro Hwy near Lanyon Dr ,SW,29870,20010,30570,149.170145,-35.3795484
227,Belconnen Way near GDE,NE,29590,15370,31280,149.0883931,-35.25575991
228,Hindmarsh Dr near Eggleston Cr,NE,34660,20940,31770,149.0763128,-35.3474226
