id,site,dir,pre,dur,post,lng,lat
0,Oakden St near Anketell St,SW,300,290,110,149.0728096,-35.42208119
1,Pitman St near Athllon Dr,NE,420,150,430,149.0632519,-35.41630307
2,Bradley St near Callam St,NE,660,590,720,149.0880958,-35.34486365
3,Corinna St near Melrose Dr,SW,1180,790,780,149.0832028,-35.34383602
4,Soward Way near Athllon Dr ,NE,990,510,810,149.0651725,-35.42011794
5,Shea St near Athlon Dr,NE,880,570,860,149.0905114,-35.35198835
6,Shea St near Athlon Dr,SW,690,420,860,149.0901513,-35.35207651
7,Bradley St near Callam St,SW,1560,1100,1410,149.0878547,-35.34490221
8,Worgan St near Melrose Dr,SW,1130,700,1440,149.0830754,-35.34208979
9,Hibberon St one-way,NE,1360,1320,1470,149.1339017,-35.18537544
10,Soward Way near Athllon Dr ,SW,1480,770,1640,149.0652009,-35.42017649
11,Worgan St near Melrose Dr,NE,1660,920,1700,149.0835812,-35.34205429
12,Cowlishaw St near Anketll St,NE,1300,950,1740,149.0655677,-35.41361518
13,Oakden St near Anketell St,NE,1670,1340,1830,149.0723595,-35.42219792
14,Ernest Cavanagh St at Gozzard St,NE,1680,1500,1910,149.132988,-35.18407193
15,University Ave near Marcus Clarke St,NE,2430,770,1910,149.1250221,-35.27963327
16,University Ave near Marcus Clarke St,SW,2770,950,1940,149.1249611,-35.27971719
17,Corinna St near Melrose Dr,NE,2240,1470,1940,149.0831836,-35.34372351
18,Flemington Rd at Kate Cres,NE,1710,1140,1950,149.1400274,-35.18648292
19,Reed St,SW,2840,1320,1990,149.0690542,-35.41671107
20,Dickson St near Clunies Ross St,NE,2790,600,2000,149.1140848,-35.27813954
21,Dickson St near Clunies Ross St,SW,3120,710,2010,149.1132359,-35.2776809
22,Constitution Ave near London Circ,NE,1570,690,2050,149.1304445,-35.28288946
23,Allara St near Casino ped-crossing,SW,2160,830,2100,149.1335662,-35.28285196
24,Allara St near Casino ped-crossing,NE,2290,830,2120,149.133703,-35.28269799
25,Alinga St near Marcus Clarke St,SW,1620,1370,2170,149.1276825,-35.27824929
26,Cowlishaw St near Anketll St,SW,3320,1520,2210,149.0662814,-35.41325139
27,Gungahlin Pl at Bus station,SW,1950,1740,2220,149.1351659,-35.18519404
28,Constitution Ave near London Circ,SW,2520,1240,2240,149.1303771,-35.2829495
29,Constitution Ave near CIT Reid ped-crossing,NE,2870,950,2280,149.1383347,-35.28760545
30,Reed St,SW,2900,1700,2280,149.0705426,-35.41901002
31,London Circ near Gordon St,SW,2730,960,2380,149.1253543,-35.28183107
32,Constitution Ave near CIT Reid ped-crossing,SW,3060,1020,2440,149.1382841,-35.28767669
33,Reed St,NE,2990,1900,2480,149.0699645,-35.41930469
34,Alinga St near Marcus Clarke St,NE,2850,1710,2580,149.127697,-35.27820541
