date,local,school,light rail,peak,Rapid,other
2021-01-14,9839,0,4847,223,12053,256
2021-01-19,10546,0,5346,283,13358,268
2021-06-10,15388,4711,8812,289,16617,386
2021-06-13,2130,0,3564,0,5204,528
2021-01-27,10770,0,6745,282,13369,374
2021-06-12,3055,0,3934,0,6054,534
2021-05-16,2161,0,3090,0,4701,291
2021-03-07,2365,0,3319,0,4993,501
2021-02-03,16332,5851,8657,295,16550,383
2021-05-24,15716,4669,8882,302,16929,426
2021-02-04,16008,6052,8507,269,16473,425
2021-05-15,3003,0,4148,0,6296,524
2021-01-18,10092,0,4865,276,12681,231
2021-01-20,10775,0,5324,278,13546,279
2021-03-08,2252,0,2919,0,4576,280
2021-04-25,1983,0,2961,0,4258,431
2021-04-20,16659,5531,9560,294,18151,441
2021-05-14,16262,4830,9255,226,17216,567
2021-01-30,2963,0,3781,0,5929,488
2021-03-06,3287,0,4351,0,6519,697
2021-03-14,1760,0,1589,0,4112,126
2021-01-28,10711,0,6641,280,12890,346
2021-03-13,3272,0,3124,0,6628,426
2021-01-29,9839,0,6331,200,11929,392
2021-02-01,12304,1098,7087,267,13727,385
2021-01-31,2227,0,2977,0,4579,273
2021-03-24,16871,5246,9297,336,18181,425
2020-06-11,9293,4936,4561,127,9940,205
2021-04-14,11809,0,8126,308,15495,569
2021-04-19,15767,3407,8594,333,16782,440
2021-04-13,11968,0,8216,313,15654,624
2021-03-26,16457,4986,9693,212,17390,672
2021-03-29,15448,5112,8603,283,16476,431
2021-02-16,16939,5446,8378,341,17743,484
2021-03-25,16955,4999,9386,328,18354,524
2021-02-17,16515,5243,8925,288,17924,496
2021-02-18,16578,5140,8589,294,17583,523
2021-02-21,2100,0,2990,0,4417,244
2021-04-23,16420,5209,9168,267,16969,533
2019-07-05,16040,2856,9967,400,20697,565
2021-02-19,15799,4900,8834,215,16832,586
2021-04-26,2282,0,2908,0,4503,288
2021-04-24,3190,0,4024,0,6112,479
2021-04-22,17017,5136,9229,325,18501,472
2021-04-27,16970,4900,9354,330,18261,537
2021-06-04,16028,4874,9117,247,16553,504
2021-06-03,14430,4512,7949,309,15403,358
2021-04-01,15612,4362,8572,252,16471,601
2021-03-30,16440,5045,9185,335,17212,427
2021-03-31,16718,4862,9475,294,18162,628
2021-04-05,2153,0,2847,0,4369,355
