date,local,school,light rail,peak,Rapid,other
2019-08-19,18332,5646,11099,461,24242,313
2020-04-03,3084,49,1481,52,3519,77
2020-02-24,20110,6622,11735,516,26749,476
2020-05-06,3735,140,2022,63,4605,102
2019-10-03,15089,0,11745,426,24221,916
2020-05-02,1081,0,1089,0,2062,61
2020-09-09,12127,5078,5874,157,11887,254
2020-04-21,3012,0,2253,59,3738,83
2020-02-14,20092,5906,12171,341,26149,765
2020-04-05,746,0,703,0,1289,44
2020-06-17,9614,4838,4847,136,10446,222
2019-11-21,18011,5362,10735,438,23009,496
2019-07-19,13846,0,10335,325,20012,815
2020-06-02,9101,4931,4220,110,9258,154
2019-11-27,17817,5138,11213,432,23824,603
2019-07-17,13768,0,9981,428,20550,708
2019-11-20,18444,5700,11143,476,24190,503
2020-07-22,11326,5060,5347,153,11361,245
2020-07-31,11670,4386,6072,131,11738,407
2020-06-29,8594,3530,4848,149,10213,239
2020-07-05,1596,0,2480,0,3585,225
2019-09-20,20009,5099,13907,403,27732,882
2020-02-13,20387,6766,11111,499,26610,499
2019-10-25,18034,5082,11949,327,24658,642
2020-02-03,15704,1158,10312,361,22332,548
2019-11-01,18179,5251,12153,337,24242,591
2020-07-25,2013,0,3378,0,4838,358
2019-08-28,19485,5358,11796,492,26363,421
2020-01-16,12368,0,8900,363,18705,522
2020-06-12,9550,4876,4781,100,10276,265
2020-05-10,977,0,1123,0,1999,70
2020-05-17,1074,0,1382,0,2243,107
2020-06-06,1832,0,2529,0,3956,281
2019-11-28,18200,4904,11369,424,23911,521
2020-08-13,11977,5184,5718,172,11904,270
2019-12-01,2713,0,3987,0,6532,372
2020-02-08,3711,0,5256,0,7675,632
2020-01-02,6913,0,5345,118,9780,985
2020-02-21,20196,6270,13617,381,27274,1157
2019-07-16,14025,0,9701,421,20592,733
2019-07-09,13835,0,9971,455,19862,580
2020-09-10,12648,5072,6176,213,12437,301
2019-11-02,3898,0,5943,0,9358,685
2020-06-21,1379,0,2128,0,3172,164
2020-04-15,2970,0,1522,55,3627,81
2019-11-30,3801,0,5360,0,8498,735
2019-09-18,19573,5731,12288,419,26092,469
2019-11-08,17838,5345,11395,372,24095,530
2019-08-23,18614,5224,12072,384,25079,572
2020-08-06,11774,5135,5659,176,11698,262
2020-05-15,4497,850,2519,76,5496,120
2020-05-03,959,0,1021,0,1821,65
2019-11-26,17653,5380,10837,472,24190,526
2020-02-27,21070,6435,12499,488,28678,582
2019-09-26,19068,5310,11774,455,25835,546
2019-07-29,18743,5962,11202,408,24273,341
2019-09-04,18691,5600,10916,464,24375,348
2020-02-02,2861,0,3413,0,5437,319
2020-08-02,1733,0,2329,0,3663,182
2020-06-13,1895,0,2706,0,4199,248
2020-07-13,5918,0,4142,113,8540,237
2020-08-07,10080,4680,4976,124,9993,235
2019-07-23,19392,5935,11829,461,25344,351
2020-07-17,7244,0,4973,114,9896,432
2020-05-16,1512,0,1739,0,2915,99
2019-11-25,17086,5426,10634,451,23151,602
2020-05-14,4340,891,2312,75,5365,110
2020-01-17,12437,0,9551,315,19115,704
2019-12-04,17360,4705,11170,465,23467,543
2020-04-11,891,0,745,0,1523,33
2020-03-28,1092,0,1030,0,1971,51
2020-05-13,4050,869,2208,72,5347,98
2019-10-18,18448,5421,12100,370,25368,586
2020-01-09,11208,0,8103,318,16730,469
2020-07-29,11780,5454,5790,185,11809,274
2019-10-13,2943,0,4536,0,7552,429
2020-08-04,11694,5384,5541,167,11698,257
2020-03-16,17139,6000,9423,369,22739,300
2020-09-18,12513,4808,6417,161,12778,341
2020-03-13,18951,5882,11283,373,25302,632
2019-12-02,15928,5002,10267,441,22012,533
2020-02-01,3026,0,4019,0,6305,512
2020-04-30,2989,86,1561,60,3682,79
2020-03-08,3154,0,4255,0,6895,575
2019-09-25,18838,5360,12462,453,25717,496
2020-08-27,12319,4962,6044,165,11917,270
2020-04-08,2968,51,1449,65,3449,67
2020-01-23,12963,0,9361,448,19874,530
2019-07-25,19619,5845,11831,432,25284,426
2020-06-10,9267,5022,4583,127,9748,170
2019-11-24,2913,0,3832,0,6681,443
2019-09-17,18169,5711,11420,484,25470,407
2019-07-22,18376,5332,11280,440,24147,384
2020-08-03,11297,5289,5302,148,10927,251
2019-10-23,18895,5445,12263,467,26133,453
2020-01-26,2681,0,3579,0,5776,638
2019-11-09,3905,0,5803,0,9388,762
2020-08-23,1657,0,2279,0,3710,161
2019-08-20,19431,5835,11927,479,26158,342
2020-06-09,9247,4853,4430,131,9710,200
2019-07-01,15987,3765,9618,407,21223,
2020-08-30,1841,0,2551,0,3867,189
2020-02-04,19116,6225,11202,498,25242,488
2019-10-02,15001,0,11760,458,24050,774
2019-09-07,4965,0,5537,0,7801,724
2019-11-15,18462,5472,11791,370,24410,627
2019-07-08,13078,0,8949,422,18848,493
2020-08-01,2174,0,3350,0,5068,333
2019-11-19,18567,5733,11338,491,24402,474
2020-07-09,6888,0,4724,129,9600,346
2020-03-15,2607,0,3236,0,5840,266
2019-07-10,13856,0,9466,421,19502,601
2020-02-26,20972,6518,12477,478,28359,539
2020-03-26,4003,108,2370,133,5846,79
2020-02-20,20567,6106,12084,488,27379,574
2020-01-31,12977,0,9036,242,19327,584
2020-09-25,10814,4109,5568,171,11165,303
2020-09-03,12307,5195,5852,192,11891,252
2019-07-31,19599,5736,11968,478,25342,479
2019-09-15,3921,0,4529,0,6608,536
2020-07-26,1377,0,1827,0,2952,122
2019-08-29,19565,5492,11851,427,25376,435
2020-04-23,3230,0,1698,39,3819,89
2019-08-01,19950,5754,12200,459,25864,402
2020-09-02,12087,5165,5966,174,12014,284
2020-02-05,19625,7208,11441,423,25010,533
2019-11-16,4063,0,5884,0,9130,850
2020-09-21,12177,5022,5730,200,11947,254
2020-07-03,8889,2966,5704,113,11132,377
2020-08-20,10797,1939,5698,158,11319,295
2020-05-22,6527,2402,2987,81,6952,122
2019-08-16,18703,5447,12106,346,25086,501
2020-09-14,12068,4973,5984,190,12126,280
2020-08-28,12135,4381,6424,163,12374,337
2019-09-14,5306,4,6620,0,8618,920
2020-07-08,7017,0,4952,139,9859,281
2020-02-23,3124,2,5758,0,7922,763
2019-10-20,3046,0,4434,0,7014,421
2019-11-06,18955,5665,11822,470,25228,453
2020-01-11,3059,0,4131,0,6433,548
2019-11-04,18178,5833,11194,452,24231,407
2019-09-21,4555,0,5071,0,7260,669
2019-12-05,17696,4603,10980,409,23119,535
2020-06-27,2060,0,3387,0,4989,332
2019-11-14,19081,5569,11856,462,25207,442
2019-12-19,14879,716,9883,358,20172,621
2019-10-09,14754,0,11265,434,23526,783
2020-08-21,10782,4802,5380,151,10671,279
2020-06-26,9324,4499,5659,120,10843,343
2020-01-12,2284,0,2990,0,4916,296
2020-05-26,7414,4010,3577,110,7828,133
2019-10-14,18081,5797,11403,410,24562,470
2019-10-06,2992,0,4771,0,7530,812
2020-01-27,2396,0,3028,0,5185,343
2019-10-27,3020,0,4643,0,6761,640
